Name,SOS#,Assn Type,# of Units,Telephone,Address1,Address2,City,State,Zip Code,County
Bella Vita Homeowners Association,9936-2004,REG,1404,(702) 737-8580,"C/O Firstservice Residential Nevada, Llc",8290 Arville St,Las Vegas,NV,89139,Clark
Terra Bella At Anthem Homeowners Association,0487142005-2,REG,236,(702) 737-8580,"C/O Firstservice Residential Nevada, Llc",8290 Arville St,Las Vegas,NV,89139,Clark
Tenaya Creek Homeowners Associations,1477-2002,REG,110,(775) 337-2700,"C/O Firstservice Residential Nevada, Llc","639 Isbell Road, #280",Reno,NV,89509-4971,Washoe
Tempo Homeowners Association Inc,17837-1999,REG,291,(702) 737-8580,"C/O Firstservice Residential Nevada, Llc",8290 Arville St,Las Vegas,NV,89139,Clark
Tanglewood Condominium Association,10228-1993,REG,80,(702) 737-8580,"C/O Firstservice Residential Nevada, Llc",8290 Arville St,Las Vegas,NV,89139,Clark
Belvedere Towers Owners Association,0564402005-8,REG,176,(775) 324-5888,"C/O Firstservice Residential Nevada, Llc",639 Isbell Rd Ste 280,Reno,NV,89509,Washoe
Tahoe Village Homeowners Association,2237-1984,MSTR,1016,(775) 588-7820,"C/O Firstservice Residential Nevada, Llc",639 Isbell Rd Ste 280,Reno,NV,89509,Douglas
Berkshire Estates Ii Homeowners Association,0250292006-5,REG,90,(702) 737-8580,"C/O Firstservice Residential Nevada, Llc",8290 Arville St,Las Vegas,NV,89139,Clark
Tahoe Ii Homeowners Association,9952-1997,REG,72,(702) 737-8580,"C/O Firstservice Residential Nevada, Llc",8290 Arville St,Las Vegas,NV,89139,Clark
Sunset Trails Homeowners' Association,31675-2004,REG,150,(702) 737-8580,"C/O Firstservice Residential Nevada, Llc",8290 Arville St,Las Vegas,NV,89139,Clark
"Sunset Pines Landscape Maintenance Association, Inc.",2838-2003,REG,202,(702) 737-8580,"C/O Firstservice Residential Nevada, Llc",8290 Arville St,Las Vegas,NV,89139,Clark
Sunset Pass Homeowners Association,345-2005,REG,189,(702) 737-8580,"C/O Firstservice Residential Nevada, Llc",8290 Arville St,Las Vegas,NV,89139,Clark
Twilight At Old Vegas Ranch Homeowners Association,25058-2002,SUB,145,(702) 737-8580,"C/O Firstservice Residential Nevada, Llc",8290 Arville St,Las Vegas,NV,89139,Clark
Astoria Trails North Homeowners Association,8741-1999,REG,156,(702) 737-8580,"C/O Firstservice Residential Nevada, Llc",8290 Arville St,Las Vegas,NV,89139,Clark
Ventana At Sierra Montana Homeowners' Association,0250842005-1,REG,82,(702) 737-8580,"C/O Firstservice Residential Nevada, Llc",8290 Arville St,Las Vegas,NV,89139,Clark
Arroyo Grande Landscape Maintenance Association,8510-2000,REG,316,(702) 737-8580,"C/O Firstservice Residential Nevada, Llc",8290 Arville St,Las Vegas,NV,89139,Clark
Adagio Homeowners' Association,0667642005-0,REG,282,(702) 737-8580,"C/O Firstservice Residential Nevada, Llc",8290 Arville St,Las Vegas,NV,89139,Clark
Alexis Heights Unit Owners Association,0037492005-9,REG,256,(702) 373-8580,"C/O Firstservice Residential Nevada, Llc",8290 Arville St,Las Vegas,NV,89139,Clark
Aliante Master Association,29013-2002,MSTR,0,(702) 737-8580,"C/O Firstservice Residential Nevada, Llc",8290 Arville St,Las Vegas,NV,89139,Clark
Windbrooke Landscape Maintenance Corporation,18717-1998,REG,253,(702) 737-8580,"C/O Firstservice Residential Nevada, Llc",8290 Arville St,Las Vegas,NV,89139,Clark
"Allure Homeowners' Association, Inc.",0608152007-2,REG,427,(702) 737-8580,"C/O Firstservice Residential Nevada, Llc",8290 Arville St,Las Vegas,NV,89139,Clark
Wildcreek Homeowners Association,0193322007-1,REG,142,(775) 337-2700,"C/O Firstservice Residential Nevada, Llc",639 Isbell Rd Ste 280,Reno,NV,89509,Washoe
Whitney Heights Association,0085172005-9,REG,200,(702) 737-8580,"C/O Firstservice Residential Nevada, Llc",8290 Arville St,Las Vegas,NV,89139,Clark
White Lake Ranch Association,11456-1996,REG,298,(775) 337-2700,"C/O Firstservice Residential Nevada, Llc",6170 Ridgeview Ct Ste C,Reno,NV,89519,Washoe
Wexford Village Phase Ii Homeowners Association,27650-2002,REG,58,(702) 737-8580,"C/O Firstservice Residential Nevada, Llc",8290 Arville St,Las Vegas,NV,89139,Clark
Westwind North Limited Homeowners Association,31776-2004,REG,35,(702) 737-8580,"C/O Firstservice Residential Nevada, Llc",8290 Arville St,Las Vegas,NV,89139,Clark
Westwind Limited Homeowners Association,21931-2003,REG,180,(702) 737-8580,"C/O Firstservice Residential Nevada, Llc",8290 Arville St,Las Vegas,NV,89139,Clark
West Sahara Community Association,1843-1985,MSTR,1552,(702) 737-8580,"C/O Firstservice Residential Nevada, Llc",8290 Arville St,Las Vegas,NV,89139,Clark
Wellington Park Homeowners Association,5187-1997,SUB,179,(702) 737-8580,"C/O Firstservice Residential Nevada, Llc",8290 Arville St,Las Vegas,NV,89139,Clark
Watermarke Homeowners Association,0526992006-2,SUB,190,(702) 737-8580,"C/O Firstservice Residential Nevada, Llc",8290 Arville St,Las Vegas,NV,89139,Clark
Black Hawk Homeowners Association,28069-2004,REG,306,(702) 737-8580,"C/O Firstservice Residential Nevada, Llc",8290 Arville St,Las Vegas,NV,89139,Clark
Alum Creek Patio Homes Homeowners Association,3220-1988,SUB,112,(702) 737-8580,"C/O Firstservice Residential Nevada, Llc",639 Isbell Rd Ste 280,Reno,NV,89509,Washoe
Wakefield Homeowners Association,0605832005-9,REG,154,(702) 737-8580,"C/O Firstservice Residential Nevada, Llc",8290 Arville St,Las Vegas,NV,89139,Clark
"Vistana Condominium Owners Association, Inc",26334-1998,REG,732,(702) 737-8580,"C/O Firstservice Residential Nevada, Llc",8290 Arville St,Las Vegas,NV,89139,Clark
Vista Dulce Homeowners Association,0648832014-1,SUB,87,(702) 737-8580,"C/O Firstservice Residential Nevada, Llc",8290 Arville St,Las Vegas,NV,89139,Clark
"Vinings Homeowners Association, The",617-2005,REG,109,(702) 737-8580,"C/O Firstservice Residential Nevada, Llc",8290 Arville St,Las Vegas,NV,89139,Clark
Villas At Windmill Community Association,4550-2003,REG,158,(702) 737-8580,"C/O Firstservice Residential Nevada, Llc",8290 Arville St,Las Vegas,NV,89139,Clark
Villas At Tropicana Community Association,16509-2002,REG,122,(702) 737-8580,"C/O Firstservice Residential Nevada, Llc",8290 Arville St,Las Vegas,NV,89139,Clark
Villas At Tierra Linda Homeowners Association,0024262005-7,REG,440,(702) 737-8580,"C/O Firstservice Residential Nevada, Llc",8290 Arville St,Las Vegas,NV,89139,Clark
Villas At Huntington Homeowners Association,27107-2004,SUB,420,(702) 737-8580,"C/O Firstservice Residential Nevada, Llc",8290 Arville St,Las Vegas,NV,89139,Clark
Villas At Fort Apache Homeowners Association,0262962005-9,REG,76,(702) 737-8580,"C/O Firstservice Residential Nevada, Llc",8290 Arville St,Las Vegas,NV,89139,Clark
American West Village Owners Association,16349-1994,REG,203,(702) 737-8580,"C/O Firstservice Residential Nevada, Llc",8290 Arville St,Las Vegas,NV,89139,Clark
Villas At Cliff Shadows Homeowners Association,0219822005-0,REG,54,(702) 737-8580,"C/O Firstservice Residential Nevada, Llc",8290 Arville St,Las Vegas,NV,89139,Clark
Anthem Highlands Community Association,18706-2003,MSTR,1549,(702) 737-8580,"C/O Firstservice Residential Nevada, Llc",8290 Arville St,Las Vegas,NV,89139,Clark
"Arbor Lane Landscape Maintenance Association, Inc",9376-2000,REG,261,(702) 737-8580,"C/O Firstservice Residential Nevada, Llc",8290 Arville St,Las Vegas,NV,89139,Clark
Vialetto @ Aliante,SAME AS MASTER,SAM,168,(702) 638-7770,"C/O Firstservice Residential Nevada, Llc",8290 Arville St,Las Vegas,NV,89139,Clark
"Walnut Glen Landscape Maintenance Association, Inc.",28072-2002,REG,373,(702) 737-8580,"C/O Firstservice Residential Nevada, Llc",8290 Arville St,Las Vegas,NV,89139,Clark
Cobblestone Ridge Homeowners Association,10885-2001,REG,501,(702) 737-8580,"C/O Firstservice Residential Nevada, Llc",8290 Arville St,Las Vegas,NV,89139,Clark
Sunrise Canyon Community Association,4606-2004,REG,202,(702) 737-8580,"C/O Firstservice Residential Nevada, Llc",8290 Arville St,Las Vegas,NV,89139,Clark
Sunburst Homeowners Association,30833-2001,REG,216,(702) 737-8580,"C/O Firstservice Residential Nevada, Llc",8290 Arville St,Las Vegas,NV,89139,Clark
Silverado Court Landscape Maintenance Corporation,516-2003,REG,522,(702) 737-8580,"C/O Firstservice Residential Nevada, Llc",8290 Arville St,Las Vegas,NV,89139,Clark
Silver Terrace Ii Landscape Maintenance Association,0125582005-7,REG,208,(702) 737-8580,"C/O Firstservice Residential Nevada, Llc",639 Isbell Rd Ste 280,Reno,NV,89509,Washoe
Silver Creek Condo Association,0318682006-3,REG,376,(775) 337-2700,"C/O Firstservice Residential Nevada, Llc",6170 Ridgeview Ct Ste C,Reno,NV,89519,Washoe
"Sierra Vista Towers Homeowners' Association, Inc.",0206512005-8,REG,59,(775) 337-2700,"C/O Firstservice Residential Nevada, Llc",6170 Ridgeview Ct Ste C,Reno,NV,89519,Washoe
Shadow Springs Community Association,10016-2003,REG,611,(702) 737-8580,"C/O Firstservice Residential Nevada, Llc",8290 Arville St,Las Vegas,NV,89139,Clark
Shadow Mountain Ranch Landscape Maintenance Corporation,13162-1999,REG,661,(702) 737-8580,"C/O Firstservice Residential Nevada, Llc",8290 Arville St,Las Vegas,NV,89139,Clark
Seven Hills Master Community Association,11085-1995,MSTR,0,(702) 737-8580,"C/O Firstservice Residential Nevada, Llc",8290 Arville St,Las Vegas,NV,89139,Clark
Serenata @ Aliante,SAME AS MASTER,SAM,147,(702) 638-7770,"C/O Firstservice Residential Nevada, Llc",8290 Arville St,Las Vegas,NV,89139,Clark
Serena Springs Homeowners Association,17435-2004,REG,107,(775) 337-2700,"C/O Firstservice Residential Nevada, Llc",639 Isbell Rd Ste 280,Reno,NV,89509,Washoe
"Sedona Condominium Homeowners Association, Inc.",0145442005-5,REG,560,(702) 737-8580,"C/O Firstservice Residential Nevada, Llc",8290 Arville St,Las Vegas,NV,89139,Clark
"Seasons Homeowners Association, The",2300-2002,REG,380,(702) 737-8580,"C/O Firstservice Residential Nevada, Llc",8290 Arville St,Las Vegas,NV,89139,Clark
Savannah Place Homeowners Association,0157222005-3,REG,201,(702) 737-8580,"C/O Firstservice Residential Nevada, Llc",8290 Arville St,Las Vegas,NV,89139,Clark
Sapphire Ridge Landscape Maintenance Association,18082-2002,REG,150,(775) 337-2700,"C/O Firstservice Residential Nevada, Llc",639 Isbell Rd Ste 280,Reno,NV,89509,Washoe
San Rafael Homeowners Association Inc,27631-1997,REG,147,(702) 737-8580,"C/O Firstservice Residential Nevada, Llc",8290 Arville St,Las Vegas,NV,89139,Clark
San Destin Tivoli @ Aliante,SAME AS MASTER,SAM,173,(702) 638-7770,"C/O Firstservice Residential Nevada, Llc",8290 Arville St,Las Vegas,NV,89139,Clark
San Destin Ravello @ Aliante,SAME AS MASTER,SAM,236,(702) 638-7770,"C/O Firstservice Residential Nevada, Llc",8290 Arville St,Las Vegas,NV,89139,Clark
San Destin Palazzo @ Aliante,SAME AS MASTER,SAM,186,(702) 638-7770,"C/O Firstservice Residential Nevada, Llc",8290 Arville St,Las Vegas,NV,89139,Clark
San Destin Arroyo @ Aliante,SAME AS MASTER,SAM,76,(702) 638-7770,"C/O Firstservice Residential Nevada, Llc",8290 Arville St,Las Vegas,NV,89139,Clark
Chateau Nouveau Condominium Unit-Owners' Association Inc,28186-2004,REG,564,(702) 737-8580,"C/O Firstservice Residential Nevada, Llc",8290 Arville St,Las Vegas,NV,89139,Clark
Salerno @ Aliante,SAME AS MASTER,SAM,126,(702) 638-7770,"C/O Firstservice Residential Nevada, Llc",8920 Arville St,Las Vegas,NV,89139,Clark
Sahara Mountain Vista Homeowners Association,491-1997,REG,176,(702) 737-8580,"C/O Firstservice Residential Nevada, Llc",8290 Arville St,Las Vegas,NV,89139,Clark
"S.P. Homeowners' Association, Inc.",0779932005-0,REG,372,(702) 737-8580,"C/O Firstservice Residential Nevada, Llc",8290 Arville St,Las Vegas,NV,89139,Clark
Russell Ranch Homeowner'S Association,0479422008-9,REG,46,(702) 255-1005,"C/O Firstservice Residential Nevada, Llc",8290 Arville St,Las Vegas,NV,89139,Clark
Rosabella At Alexander Estates Homeowners' Association,1520-2005,REG,128,(702) 737-8580,"C/O Firstservice Residential Nevada, Llc",8290 Arville St,Las Vegas,NV,89139,Clark
Classics/Estates At Centennial Ranch Homeowners Association,13185-2003,REG,403,(702) 737-8580,"C/O Firstservice Residential Nevada, Llc",8290 Arville St,Las Vegas,NV,89139,Clark
Clearwater Canyon Property Owners Association,18114-1996,REG,263,(702) 737-8580,"C/O Firstservice Residential Nevada, Llc",8290 Arville St,Las Vegas,NV,89139,Clark
Cliff Shadows Homeowners Association,31853-2002,REG,320,(702) 737-8580,"C/O Firstservice Residential Nevada, Llc",8290 Arville St,Las Vegas,NV,89139,Clark
Cliffs @ Lone Mountain Homeowners Association The,0377652005-0,MSTR,192,(702) 737-8580,"C/O Firstservice Residential Nevada, Llc",8290 Arville St,Las Vegas,NV,89139,Clark
Riva-Monet Homeowners Association,5684-1996,REG,175,(702) 737-8580,"C/O Firstservice Residential Nevada, Llc",8290 Arville St,Las Vegas,NV,89139,Clark
Silverado Courtyards Association,3287-2000,REG,132,(702) 737-8580,"C/O Firstservice Residential Nevada, Llc",8290 Arville St,Las Vegas,NV,89139,Clark
Silverado Pointe/Ridge Homeowners Association,1338-1999,REG,184,(702) 737-8580,"C/O Firstservice Residential Nevada, Llc",8290 Arville St,Las Vegas,NV,89139,Clark
Carlisle Maintenance Association,0507732005-8,REG,120,(702) 737-8580,"C/O Firstservice Residential Nevada, Llc",8290 Arville St,Las Vegas,NV,89139,Clark
Silverado Ranch Landscape Maintenance Corporation,9149-1998,REG,342,(702) 737-8580,"C/O Firstservice Residential Nevada, Llc",8290 Arville St,Las Vegas,NV,89139,Clark
Boulder Court Homeowners Association,8058-2003,REG,201,(702) 737-8580,"C/O Firstservice Residential Nevada, Llc",8290 Arville St,Las Vegas,NV,89139,Clark
Sun City Anthem Community Association Inc,14322-1998,REG,7144,(702) 614-5805,"C/O Firstservice Residential Nevada, Llc",2450 Hampton Rd,Henderson,NV,89052,Clark
"Brentwood Landscape Maintenance Association, Inc.",15595-2000,REG,206,(702) 737-8580,"C/O Firstservice Residential Nevada, Llc",8290 Arville St,Las Vegas,NV,89139,Clark
Bridle Path Homeowners Association,432-1992,REG,360,(775) 337-2700,"C/O Firstservice Residential Nevada, Llc",639 Isbell Rd #280,Reno,NV,89509,Washoe
Sturbridge Homeowners Association,31112-2000,REG,96,(702) 737-8580,"C/O Firstservice Residential Nevada, Llc",8290 Arville St,Las Vegas,NV,89139,Clark
Stratford Homeowners Association,20925-2003,REG,106,(702) 737-8580,"C/O Firstservice Residential Nevada, Llc",8290 Arville St,Las Vegas,NV,89139,Clark
Brighton Maintenance Corporation,30275-2004,REG,141,(702) 737-8580,"C/O Firstservice Residential Nevada, Llc",8290 Arville St,Las Vegas,NV,89139,Clark
Stonehurst At Mountains Edge Homeowners Association,0109622005-3,SUB,269,(702) 737-8580,"C/O Firstservice Residential Nevada, Llc",8290 Arville St,Las Vegas,NV,89139,Clark
Buckingham At Huntington Homeowners Association,28584-2004,SUB,173,(702) 737-8580,"C/O Firstservice Residential Nevada, Llc",8290 Arville St,Las Vegas,NV,89139,Clark
Stone Mountain Homeowners Association,10785-2001,REG,143,(702) 737-8580,"C/O Firstservice Residential Nevada, Llc",8290 Arville St,Las Vegas,NV,89139,Clark
Cabernet Homeowners Association,0106912006-6,REG,378,(775) 337-2700,"C/O Firstservice Residential Nevada, Llc",639 Isbell Rd Ste 280,Reno,NV,89509,Washoe
Stetson Ranch Homeowners Association,18226-2003,REG,575,(702) 737-8580,"C/O Firstservice Residential Nevada, Llc",8290 Arville St,Las Vegas,NV,89139,Clark
Steeplechase Homeowners Association,14892-2001,REG,80,(702) 737-8580,"C/O Firstservice Residential Nevada, Llc",8290 Arville St,Las Vegas,NV,89139,Clark
Cactus Hills Square Homeowners Association,0475902005-0,REG,260,(702) 737-8580,"C/O Firstservice Residential Nevada, Llc",8290 Arville St,Las Vegas,NV,89139,Clark
Sunhampton Owners Association,19280-1994,REG,136,(702) 737-8580,"C/O Firstservice Residential Nevada, Llc",8290 Arville St,Las Vegas,NV,89139,Clark
Cactus Springs At Pueblo Crossing Homeowners Association,0280182005-7,REG,67,(702) 737-8580,"C/O Firstservice Residential Nevada, Llc",8290 Arville St,Las Vegas,NV,89139,Clark
Spring Mountain Ranch Master Association,15066-1997,MSTR,1468,(702) 737-8580,"C/O Firstservice Residential Nevada, Llc",8290 Arville St,Las Vegas,NV,89139,Clark
Spinnaker Village Iii Homeowners Association,0646942007-3,REG,44,(702) 638-7770,"C/O Firstservice Residential Nevada, Llc",8290 Arville St,Las Vegas,NV,89139,Clark
Cambridge Crossing Community Association,2213-1996,SUB,98,(702) 737-8580,"C/O Firstservice Residential Nevada, Llc",8290 Arville St,Las Vegas,NV,89139,Clark
Spanish Hills Community Association,9382-1992,REG,166,(702) 737-8580,"C/O Firstservice Residential Nevada, Llc",8290 Arville St,Las Vegas,NV,89139,Clark
"Southgate Condominium Unit-Owners' Association, Inc.",0708532005-7,REG,180,(702) 737-8580,"C/O Firstservice Residential Nevada, Llc",8290 Arville St,Las Vegas,NV,89139,Clark
Southern Terrace Homeowners Association,21850-2001,REG,908,(702) 737-8580,"C/O Firstservice Residential Nevada, Llc",8290 Arville St,Las Vegas,NV,89139,Clark
Canyon Gate Master Association,822-1989,REG,507,(702) 737-8580,"C/O Firstservice Residential Nevada, Llc",8290 Arville St,Las Vegas,NV,89139,Clark
South Canyons Homeowners Association,10492-2004,REG,155,(702) 737-8580,"C/O Firstservice Residential Nevada, Llc",8290 Arville St,Las Vegas,NV,89139,Clark
Sommerset Homeowners Association,12392-1992,REG,86,(702) 737-8580,"C/O Firstservice Residential Nevada, Llc",8290 Arville St,Las Vegas,NV,89139,Clark
Somersett Owners Association,29550-2002,MSTR,5000,(775) 337-2700,"C/O Firstservice Residential Nevada, Llc",639 Isbell Rd Ste 280,Reno,NV,89509,Washoe
"Solera At Anthem Community Association, Inc",18844-2003,REG,1822,(702) 737-8580,"C/O Firstservice Residential Nevada, Llc",8290 Arville St,Las Vegas,NV,89139,Clark
Canyon Willow Owners Association,13114-1993,REG,720,(702) 737-8580,"C/O Firstservice Residential Nevada, Llc",8290 Arville St,Las Vegas,NV,89139,Clark
Silverstone Ranch Community Association,15778-2002,REG,1527,(702) 737-8580,"C/O Firstservice Residential Nevada, Llc",8290 Arville St,Las Vegas,NV,89139,Clark
Silverado South Homeowners Association,3903-1998,REG,389,(702) 737-8580,"C/O Firstservice Residential Nevada, Llc",8290 Arville St,Las Vegas,NV,89139,Clark
Calico Hills Owners Association,13349-1995,REG,13,(702) 737-8580,"C/O Firstservice Residential Nevada, Llc",8290 Arville St,Las Vegas,NV,89139,Clark
Madrid Estates Homeowners Association Inc,15869-1997,REG,87,(702) 737-8580,"C/O Firstservice Residential Nevada, Llc",8290 Arville St,Las Vegas,NV,89139,Clark
1200 Riverside Drive Association,283-1972,REG,100,(702) 737-8580,"C/O Firstservice Residential Nevada, Llc",639 Isbell Rd Ste 280,Reno,NV,89509,Washoe
Lone Mountain Heights Community Association,6501-2001,REG,360,(702) 737-8580,"C/O Firstservice Residential Nevada, Llc",8290 Arville St,Las Vegas,NV,89139,Clark
Lake Las Vegas Southshore Residential Association,11611-1991,SUB,855,(702) 638-7770,"C/O Firstservice Residential Nevada, Llc",220 Grand Mediterra Blvd,Henderson,NV,89011,Clark
High Noon At Old Vegas Ranch Homeowners Association,25060-2002,SUB,249,(702) 737-8580,"C/O Firstservice Residential Nevada, Llc",8290 Arville St,Las Vegas,NV,89139,Clark
Loft 5 Homeowners' Association,0797262006-2,REG,272,(702) 270-4769,"C/O Firstservice Residential Nevada, Llc",8290 Arville St,Las Vegas,NV,89139,Clark
Galleria Villas Condominiums Association,22987-1999,REG,160,(702) 638-7770,"C/O Firstservice Residential Nevada, Llc",8290 Arville St,Las Vegas,NV,89139,Clark
Lone Mountain Estates Community Association,21493-2000,REG,28,(702) 737-8580,"C/O Firstservice Residential Nevada, Llc",8290 Arville St,Las Vegas,NV,89139,Clark
Horizon Hills Homeowners Association,15963-2001,REG,144,(702) 737-8580,"C/O Firstservice Residential Nevada, Llc",8290 Arville St,Las Vegas,NV,89139,Clark
Juhl Unit-Owners Association,0008782008-2,REG,344,(702) 737-8580,"C/O Firstservice Residential Nevada, Llc",8290 Arville St,Las Vegas,NV,89139,Clark
Lakeside At Sunrise Villas Association,6851-1985,REG,60,(702) 638-7770,"C/O Firstservice Residential Nevada, Llc",8290 Arville St,Las Vegas,NV,89139,Clark
"Highlands Ranch North Landscape Maintenance Corporation, A Nevada Non-Profit Corporation",26944-2004,REG,278,(702) 737-8580,"C/O Firstservice Residential Nevada, Llc",8290 Arville St,Las Vegas,NV,89139,Clark
Horizon Park Homeowners Association,0044632007-8,REG,334,(702) 737-8580,"C/O Firstservice Residential Nevada, Llc",8290 Arville St,Las Vegas,NV,89139,Clark
Highlands Ranch Landscape Maintenance Corporation A Nevada Nonprofit Corporation,26939-2004,REG,5100,(702) 737-8580,"C/O Firstservice Residential Nevada, Llc",8290 Arville St,Las Vegas,NV,89139,Clark
Imagination West Landscape Maintenance Association,20792-2003,REG,85,(702) 737-8580,"C/O Firstservice Residential Nevada, Llc",8290 Arville St,Las Vegas,NV,89139,Clark
Genevieve Court Homeowners Association,3736-2000,REG,160,(702) 737-8580,"C/O Firstservice Residential Nevada, Llc",8290 Arville St,Las Vegas,NV,89139,Clark
Fifth And Farm Community Association,11839-2003,REG,344,(702) 737-8580,"C/O Firstservice Residential Nevada, Llc",8290 Arville St,Las Vegas,NV,89139,Clark
"Lakes Association, The",5070-1985,SUB,165,(702) 737-8580,"C/O Firstservice Residential Nevada, Llc",8290 Arville St,Las Vegas,NV,89139,Clark
Flamingo Crest Owners Association Inc,3958-1976,REG,154,(702) 737-8580,"C/O Firstservice Residential Nevada, Llc",8290 Arville St,Las Vegas,NV,89139,Clark
Emerald Ridge Landscape Maintenance Association,14142-1998,REG,230,(702) 737-8580,"C/O Firstservice Residential Nevada, Llc",8290 Arville St,Las Vegas,NV,89139,Clark
Emerald Crest Townhomes Unit Owners Association,0653472006-4,REG,65,(702) 737-8580,"C/O Firstservice Residential Nevada, Llc",8290 Arville St,Las Vegas,NV,89139,Clark
First Light At Old Vegas Ranch Homeowners,25609-2002,SUB,237,(702) 737-8580,"C/O Firstservice Residential Nevada, Llc",8290 Arville St,Las Vegas,NV,89139,Clark
Huntington Homeowners Master Association,26937-2004,MSTR,0,(702) 737-8580,"C/O Firstservice Residential Nevada, Llc",8290 Arville St,Las Vegas,NV,89139,Clark
Huntington Homeowners Association,7314-1998,REG,242,(702) 737-8580,"C/O Firstservice Residential Nevada, Llc",8290 Arville St,Las Vegas,NV,89139,Clark
"Laurelwood Landscape Maintenance Association, Inc.",9903-2000,REG,189,(702) 737-8580,"C/O Firstservice Residential Nevada, Llc",8290 Arville St,Las Vegas,NV,89139,Clark
Hidden Canyon Estates Homeowners Association,0422232005-6,REG,88,(702) 737-8580,"C/O Firstservice Residential Nevada, Llc",8290 Arville St,Las Vegas,NV,89139,Clark
Lake Las Vegas Master Association,11614-1991,MSTR,0,(702) 568-7948,"C/O Firstservice Residential Nevada, Llc",2030 Lake Las Vegas Pkwy,Henderson,NV,89011,Clark
Granada Ridge Limited Homeowner Association,29092-2003,REG,185,(702) 737-8580,"C/O Firstservice Residential Nevada, Llc",8290 Arville St,Las Vegas,NV,89139,Clark
Krn Homeowners Association,0226682006-2,REG,74,(775) 337-2700,"C/O Firstservice Residential Nevada, Llc",639 Isbell Rd Ste 280,Reno,NV,89509,Washoe
Lamplight Cottages @ Coronado Ranch Homeowners' Association,29112-2002,REG,193,(702) 737-8580,"C/O Firstservice Residential Nevada, Llc",8290 Arville St,Las Vegas,NV,89139,Clark
Glenwood Village Community Association,316-2004,REG,256,(702) 737-8580,"C/O Firstservice Residential Nevada, Llc",8290 Arville St,Las Vegas,NV,89139,Clark
Liberty At The Orchards Community Association,14165-2002,REG,263,(702) 737-8580,"C/O Firstservice Residential Nevada, Llc",8290 Arville St,Las Vegas,NV,89139,Clark
Fairway Village At Kiley Ranch - Master Series Homeowners' Association,26250-2002,REG,274,(702) 737-8580,"C/O Firstservice Residential Nevada, Llc",639 Isbell Road Suite 200,Reno,NV,89509,Washoe
Highland Glen Homeowners Association,11016-1996,REG,185,(702) 737-8580,"C/O Firstservice Residential Nevada, Llc",8290 Arville St,Las Vegas,NV,89139,Clark
"Iron Mountain Ranch Landscape Maintenance Association, Inc.",3452-2002,REG,1703,(702) 737-8580,"C/O Firstservice Residential Nevada, Llc",8290 Arville St,Las Vegas,NV,89139,Clark
Las Vegas Motorcoach Resort Owners Association,2830-2001,REG,407,(702) 737-8580,"C/O Firstservice Residential Nevada, Llc",8290 Arville St,Las Vegas,NV,89139,Clark
Lamplight Gardens @ Coronado Ranch Homeowners Association,8194-2003,REG,206,(702) 638-7770,"C/O Firstservice Residential Nevada, Llc",8290 Arville St,Las Vegas,NV,89139,Clark
Giavanna Homeowners Association,0483842005-2,REG,393,(702) 737-8580,"C/O Firstservice Residential Nevada, Llc",8290 Arville St,Las Vegas,NV,89139,Clark
Essex At Huntington Homeowners Association,28606-2004,SUB,114,(702) 737-8580,"C/O Firstservice Residential Nevada, Llc",8290 Arville St,Las Vegas,NV,89139,Clark
Glendale Homeowners Association,0144992006-0,REG,66,(702) 737-8580,"C/O Firstservice Residential Nevada, Llc",8290 Arville St,Las Vegas,NV,89139,Clark
Lamplight Cottages @ Santoli Homeowners' Association,0027822005-8,REG,72,(702) 638-7770,"C/O Firstservice Residential Nevada, Llc",8290 Arville St,Las Vegas,NV,89139,Clark
"Grove Homeowners Association, The",5037-1985,REG,82,(702) 255-1005,"C/O Firstservice Residential Nevada, Llc",8290 Arville St,Las Vegas,NV,89032,Clark
La Madre Square Homeowners Association,32475-2004,REG,125,(702) 737-8580,"C/O Firstservice Residential Nevada, Llc",8290 Arville St,Las Vegas,NV,89139,Clark
Liberty At Warm Springs Community Association,8854-2003,REG,238,(702) 737-8580,"C/O Firstservice Residential Nevada, Llc",8290 Arville St,Las Vegas,NV,89139,Clark
Liberty At Paradise Community Association,17485-2003,REG,354,(702) 737-8580,"C/O Firstservice Residential Nevada, Llc",8290 Arville St,Las Vegas,NV,89139,Clark
Liberty At Huntington Homeowners Association,27106-2004,SUB,463,(702) 737-8580,"C/O Firstservice Residential Nevada, Llc",8290 Arville St,Las Vegas,NV,89139,Clark
Granada Hills Homeowners Association Inc,6953-1996,REG,273,(702) 737-8580,"C/O Firstservice Residential Nevada, Llc",8290 Arville St,Las Vegas,NV,89139,Clark
Log Cabin Master Homeowners Association,0012432006-5,MSTR,0,(702) 737-8580,"C/O Firstservice Residential Nevada, Llc",8290 Arville St,Las Vegas,NV,89139,Clark
Hillcrest South Community Association,13006-2003,REG,40,(702) 737-8580,"C/O Firstservice Residential Nevada, Llc",8290 Arville St,Las Vegas,NV,89139,Clark
Madera Homeowners Association,35598-2004,SUB,85,(702) 737-8580,"C/O Firstservice Residential Nevada, Llc",8290 Arville St,Las Vegas,NV,89139,Clark
Highland Grove Homeowners Association,0780822005-0,REG,94,(702) 737-8580,"C/O Firstservice Residential Nevada, Llc",8290 Arville St,Las Vegas,NV,89139,Clark
